2017-10-09 22:50:49 upgrade libstdc++6:amd64 5.4.0-6ubuntu1~16.04.4 5.4.0-6ubuntu1~16.04.5
2017-10-09 22:50:49 status triggers-pending libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:49 status half-configured libstdc++6:amd64 5.4.0-6ubuntu1~16.04.4
2017-10-09 22:50:49 status unpacked libstdc++6:amd64 5.4.0-6ubuntu1~16.04.4
2017-10-09 22:50:49 status half-installed libstdc++6:amd64 5.4.0-6ubuntu1~16.04.4
2017-10-09 22:50:49 status half-installed libstdc++6:amd64 5.4.0-6ubuntu1~16.04.4
2017-10-09 22:50:49 status unpacked libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5
2017-10-09 22:50:49 status unpacked libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5
2017-10-09 22:50:49 trigproc libc-bin:amd64 2.23-0ubuntu9 <none>
2017-10-09 22:50:49 status half-configured libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:49 status installed libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:49 startup packages configure
2017-10-09 22:50:49 configure libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5 <none>
2017-10-09 22:50:49 status triggers-pending libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:49 status unpacked libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5
2017-10-09 22:50:49 status half-configured libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5
2017-10-09 22:50:49 status installed libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5
2017-10-09 22:50:49 trigproc libc-bin:amd64 2.23-0ubuntu9 <none>
2017-10-09 22:50:49 status half-configured libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:49 status installed libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:49 startup archives unpack
2017-10-09 22:50:49 upgrade libapt-pkg5.0:amd64 1.2.20 1.2.24
2017-10-09 22:50:49 status triggers-pending libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:49 status half-configured libapt-pkg5.0:amd64 1.2.20
2017-10-09 22:50:49 status unpacked libapt-pkg5.0:amd64 1.2.20
2017-10-09 22:50:49 status half-installed libapt-pkg5.0:amd64 1.2.20
2017-10-09 22:50:49 status half-installed libapt-pkg5.0:amd64 1.2.20
2017-10-09 22:50:49 status unpacked libapt-pkg5.0:amd64 1.2.24
2017-10-09 22:50:49 status unpacked libapt-pkg5.0:amd64 1.2.24
2017-10-09 22:50:49 trigproc libc-bin:amd64 2.23-0ubuntu9 <none>
2017-10-09 22:50:49 status half-configured libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:49 status installed libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:49 startup packages configure
2017-10-09 22:50:49 configure libapt-pkg5.0:amd64 1.2.24 <none>
2017-10-09 22:50:49 status triggers-pending libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:49 status unpacked libapt-pkg5.0:amd64 1.2.24
2017-10-09 22:50:49 status half-configured libapt-pkg5.0:amd64 1.2.24
2017-10-09 22:50:49 status installed libapt-pkg5.0:amd64 1.2.24
2017-10-09 22:50:49 trigproc libc-bin:amd64 2.23-0ubuntu9 <none>
2017-10-09 22:50:49 status half-configured libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:49 status installed libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:49 startup archives unpack
2017-10-09 22:50:49 upgrade libapt-inst2.0:amd64 1.2.20 1.2.24
